Month,Route,Service Category,Service Day of the Week,Average Daily Boardings
October 2023,23 Monterey,Grid,Sunday,"1,000"
November 2023,23 Monterey,Grid,Sunday,900
December 2023,23 Monterey,Grid,Sunday,900
January 2024,23 Monterey,Grid,Sunday,900
February 2024,23 Monterey,Grid,Sunday,900
March 2024,23 Monterey,Grid,Sunday,"1,000"
April 2024,23 Monterey,Grid,Sunday,"1,100"
May 2024,23 Monterey,Grid,Sunday,"1,100"
June 2024,23 Monterey,Grid,Sunday,"1,200"
July 2024,23 Monterey,Grid,Sunday,"1,300"
August 2024,23 Monterey,Grid,Sunday,"1,400"
September 2024,23 Monterey,Grid,Sunday,"1,200"
October 2024,23 Monterey,Grid,Sunday,"1,200"
November 2024,23 Monterey,Grid,Sunday,"1,000"
December 2024,23 Monterey,Grid,Sunday,900
January 2025,23 Monterey,Grid,Sunday,"1,000"
February 2025,23 Monterey,Grid,Sunday,"1,000"
March 2025,23 Monterey,Grid,Sunday,"1,000"
April 2025,23 Monterey,Grid,Sunday,"1,100"
May 2025,23 Monterey,Grid,Sunday,"1,100"
June 2025,23 Monterey,Grid,Sunday,"1,300"
July 2025,23 Monterey,Grid,Sunday,"1,200"
August 2025,23 Monterey,Grid,Sunday,"1,300"
September 2025,23 Monterey,Grid,Sunday,"1,100"
October 2025,23 Monterey,Grid,Sunday,"1,200"
January 2019,24 Divisadero,Frequent Local,Sunday,"4,900"
February 2019,24 Divisadero,Frequent Local,Sunday,"6,100"
March 2019,24 Divisadero,Frequent Local,Sunday,"6,300"
April 2019,24 Divisadero,Frequent Local,Sunday,"5,900"
May 2019,24 Divisadero,Frequent Local,Sunday,"6,000"
June 2019,24 Divisadero,Frequent Local,Sunday,"6,800"
July 2019,24 Divisadero,Frequent Local,Sunday,"6,400"
August 2019,24 Divisadero,Frequent Local,Sunday,"6,300"
September 2019,24 Divisadero,Frequent Local,Sunday,"6,700"
October 2019,24 Divisadero,Frequent Local,Sunday,"6,800"
November 2019,24 Divisadero,Frequent Local,Sunday,"6,600"
December 2019,24 Divisadero,Frequent Local,Sunday,"5,600"
January 2020,24 Divisadero,Frequent Local,Sunday,"6,500"
February 2020,24 Divisadero,Frequent Local,Sunday,"6,700"
March 2020,24 Divisadero,Frequent Local,Sunday,"3,200"
April 2020,24 Divisadero,Frequent Local,Sunday,"2,100"
May 2020,24 Divisadero,Frequent Local,Sunday,"2,600"
June 2020,24 Divisadero,Frequent Local,Sunday,"2,900"
July 2020,24 Divisadero,Frequent Local,Sunday,"3,100"
August 2020,24 Divisadero,Frequent Local,Sunday,"3,000"
September 2020,24 Divisadero,Frequent Local,Sunday,"3,100"
October 2020,24 Divisadero,Frequent Local,Sunday,"3,400"
November 2020,24 Divisadero,Frequent Local,Sunday,"3,000"
December 2020,24 Divisadero,Frequent Local,Sunday,"2,500"
January 2021,24 Divisadero,Frequent Local,Sunday,"2,600"
February 2021,24 Divisadero,Frequent Local,Sunday,"3,000"
March 2021,24 Divisadero,Frequent Local,Sunday,"3,100"
April 2021,24 Divisadero,Frequent Local,Sunday,"3,100"
May 2021,24 Divisadero,Frequent Local,Sunday,"3,700"
June 2021,24 Divisadero,Frequent Local,Sunday,"3,900"
July 2021,24 Divisadero,Frequent Local,Sunday,"4,000"
August 2021,24 Divisadero,Frequent Local,Sunday,"4,200"
September 2021,24 Divisadero,Frequent Local,Sunday,"4,300"
October 2021,24 Divisadero,Frequent Local,Sunday,"3,900"
November 2021,24 Divisadero,Frequent Local,Sunday,"4,000"
December 2021,24 Divisadero,Frequent Local,Sunday,"3,500"
January 2022,24 Divisadero,Frequent Local,Sunday,"3,800"
February 2022,24 Divisadero,Frequent Local,Sunday,"4,500"
March 2022,24 Divisadero,Frequent Local,Sunday,"4,500"
April 2022,24 Divisadero,Frequent Local,Sunday,"4,800"
May 2022,24 Divisadero,Frequent Local,Sunday,"5,100"
June 2022,24 Divisadero,Frequent Local,Sunday,"5,700"
July 2022,24 Divisadero,Frequent Local,Sunday,"5,100"
August 2022,24 Divisadero,Frequent Local,Sunday,"5,700"
September 2022,24 Divisadero,Frequent Local,Sunday,"5,400"
October 2022,24 Divisadero,Frequent Local,Sunday,"5,800"
November 2022,24 Divisadero,Frequent Local,Sunday,"5,100"
December 2022,24 Divisadero,Frequent Local,Sunday,"4,800"
January 2023,24 Divisadero,Frequent Local,Sunday,"5,100"
February 2023,24 Divisadero,Frequent Local,Sunday,"5,500"
March 2023,24 Divisadero,Frequent Local,Sunday,"5,400"
April 2023,24 Divisadero,Frequent Local,Sunday,"6,000"
May 2023,24 Divisadero,Frequent Local,Sunday,"5,900"
June 2023,24 Divisadero,Frequent Local,Sunday,"6,200"
July 2023,24 Divisadero,Frequent Local,Sunday,"6,100"
August 2023,24 Divisadero,Frequent Local,Sunday,"6,400"
September 2023,24 Divisadero,Frequent Local,Sunday,"6,300"
October 2023,24 Divisadero,Frequent Local,Sunday,"6,600"
November 2023,24 Divisadero,Frequent Local,Sunday,"5,700"
December 2023,24 Divisadero,Frequent Local,Sunday,"6,000"
January 2024,24 Divisadero,Frequent Local,Sunday,"6,000"
February 2024,24 Divisadero,Frequent Local,Sunday,"6,300"
March 2024,24 Divisadero,Frequent Local,Sunday,"6,600"
April 2024,24 Divisadero,Frequent Local,Sunday,"6,600"
May 2024,24 Divisadero,Frequent Local,Sunday,"6,600"
June 2024,24 Divisadero,Frequent Local,Sunday,"6,900"
July 2024,24 Divisadero,Frequent Local,Sunday,"6,500"
August 2024,24 Divisadero,Frequent Local,Sunday,"6,800"
September 2024,24 Divisadero,Frequent Local,Sunday,"6,900"
October 2024,24 Divisadero,Frequent Local,Sunday,"6,800"
November 2024,24 Divisadero,Frequent Local,Sunday,"6,100"
December 2024,24 Divisadero,Frequent Local,Sunday,"6,200"
January 2025,24 Divisadero,Frequent Local,Sunday,"6,200"
February 2025,24 Divisadero,Frequent Local,Sunday,"6,700"
March 2025,24 Divisadero,Frequent Local,Sunday,"6,500"
April 2025,24 Divisadero,Frequent Local,Sunday,"6,900"
May 2025,24 Divisadero,Frequent Local,Sunday,"6,900"
June 2025,24 Divisadero,Frequent Local,Sunday,"7,200"
July 2025,24 Divisadero,Frequent Local,Sunday,"6,600"
August 2025,24 Divisadero,Frequent Local,Sunday,"7,100"
September 2025,24 Divisadero,Frequent Local,Sunday,"6,800"
October 2025,24 Divisadero,Frequent Local,Sunday,"6,600"
January 2019,25 Treasure Island,Connector,Sunday,"1,900"
February 2019,25 Treasure Island,Connector,Sunday,"1,400"
March 2019,25 Treasure Island,Connector,Sunday,"1,300"
April 2019,25 Treasure Island,Connector,Sunday,"1,300"
May 2019,25 Treasure Island,Connector,Sunday,"1,500"
June 2019,25 Treasure Island,Connector,Sunday,"1,600"
July 2019,25 Treasure Island,Connector,Sunday,"1,600"
August 2019,25 Treasure Island,Connector,Sunday,"1,400"
September 2019,25 Treasure Island,Connector,Sunday,"1,800"
October 2019,25 Treasure Island,Connector,Sunday,"1,600"
November 2019,25 Treasure Island,Connector,Sunday,"2,100"
December 2019,25 Treasure Island,Connector,Sunday,"1,300"
January 2020,25 Treasure Island,Connector,Sunday,"1,400"
February 2020,25 Treasure Island,Connector,Sunday,"1,100"
March 2020,25 Treasure Island,Connector,Sunday,700
April 2020,25 Treasure Island,Connector,Sunday,300
May 2020,25 Treasure Island,Connector,Sunday,500
June 2020,25 Treasure Island,Connector,Sunday,500
July 2020,25 Treasure Island,Connector,Sunday,500
August 2020,25 Treasure Island,Connector,Sunday,500
September 2020,25 Treasure Island,Connector,Sunday,500
October 2020,25 Treasure Island,Connector,Sunday,600
November 2020,25 Treasure Island,Connector,Sunday,500
December 2020,25 Treasure Island,Connector,Sunday,400
January 2021,25 Treasure Island,Connector,Sunday,400
February 2021,25 Treasure Island,Connector,Sunday,400
March 2021,25 Treasure Island,Connector,Sunday,600
April 2021,25 Treasure Island,Connector,Sunday,500
May 2021,25 Treasure Island,Connector,Sunday,500
June 2021,25 Treasure Island,Connector,Sunday,600
July 2021,25 Treasure Island,Connector,Sunday,700
August 2021,25 Treasure Island,Connector,Sunday,600
September 2021,25 Treasure Island,Connector,Sunday,500
October 2021,25 Treasure Island,Connector,Sunday,500
November 2021,25 Treasure Island,Connector,Sunday,700
December 2021,25 Treasure Island,Connector,Sunday,600
January 2022,25 Treasure Island,Connector,Sunday,500
February 2022,25 Treasure Island,Connector,Sunday,700
March 2022,25 Treasure Island,Connector,Sunday,700
April 2022,25 Treasure Island,Connector,Sunday,700
May 2022,25 Treasure Island,Connector,Sunday,700
June 2022,25 Treasure Island,Connector,Sunday,800
July 2022,25 Treasure Island,Connector,Sunday,800
August 2022,25 Treasure Island,Connector,Sunday,800
September 2022,25 Treasure Island,Connector,Sunday,800
October 2022,25 Treasure Island,Connector,Sunday,900
November 2022,25 Treasure Island,Connector,Sunday,800
December 2022,25 Treasure Island,Connector,Sunday,700
January 2023,25 Treasure Island,Connector,Sunday,800
February 2023,25 Treasure Island,Connector,Sunday,800
March 2023,25 Treasure Island,Connector,Sunday,700
April 2023,25 Treasure Island,Connector,Sunday,800
May 2023,25 Treasure Island,Connector,Sunday,900
June 2023,25 Treasure Island,Connector,Sunday,900
July 2023,25 Treasure Island,Connector,Sunday,900
August 2023,25 Treasure Island,Connector,Sunday,800
September 2023,25 Treasure Island,Connector,Sunday,700
October 2023,25 Treasure Island,Connector,Sunday,600
November 2023,25 Treasure Island,Connector,Sunday,500
December 2023,25 Treasure Island,Connector,Sunday,500
January 2024,25 Treasure Island,Connector,Sunday,600
February 2024,25 Treasure Island,Connector,Sunday,500
March 2024,25 Treasure Island,Connector,Sunday,700
April 2024,25 Treasure Island,Connector,Sunday,700
May 2024,25 Treasure Island,Connector,Sunday,800
June 2024,25 Treasure Island,Connector,Sunday,800
July 2024,25 Treasure Island,Connector,Sunday,800
August 2024,25 Treasure Island,Connector,Sunday,700
September 2024,25 Treasure Island,Connector,Sunday,700
October 2024,25 Treasure Island,Connector,Sunday,600
November 2024,25 Treasure Island,Connector,Sunday,600
December 2024,25 Treasure Island,Connector,Sunday,700
January 2025,25 Treasure Island,Connector,Sunday,900
February 2025,25 Treasure Island,Connector,Sunday,900
March 2025,25 Treasure Island,Connector,Sunday,"1,000"
April 2025,25 Treasure Island,Connector,Sunday,"1,000"
May 2025,25 Treasure Island,Connector,Sunday,"1,000"
June 2025,25 Treasure Island,Connector,Sunday,"1,100"
July 2025,25 Treasure Island,Connector,Sunday,"1,000"
August 2025,25 Treasure Island,Connector,Sunday,"1,000"
September 2025,25 Treasure Island,Connector,Sunday,"1,100"
October 2025,25 Treasure Island,Connector,Sunday,"1,100"
January 2019,27 Bryant,Grid,Sunday,"2,900"
February 2019,27 Bryant,Grid,Sunday,"3,200"
March 2019,27 Bryant,Grid,Sunday,"3,600"
April 2019,27 Bryant,Grid,Sunday,"3,900"
May 2019,27 Bryant,Grid,Sunday,"2,900"
June 2019,27 Bryant,Grid,Sunday,"3,000"
July 2019,27 Bryant,Grid,Sunday,"3,000"
August 2019,27 Bryant,Grid,Sunday,"2,700"
September 2019,27 Bryant,Grid,Sunday,"3,500"
October 2019,27 Bryant,Grid,Sunday,"3,200"
November 2019,27 Bryant,Grid,Sunday,"3,000"
December 2019,27 Bryant,Grid,Sunday,"2,600"
January 2020,27 Bryant,Grid,Sunday,"2,900"
February 2020,27 Bryant,Grid,Sunday,"2,600"
March 2020,27 Bryant,Grid,Sunday,"1,900"
April 2020,27 Bryant,Grid,Sunday,300
January 2021,27 Bryant,Grid,Sunday,100
February 2021,27 Bryant,Grid,Sunday,700
March 2021,27 Bryant,Grid,Sunday,800
April 2021,27 Bryant,Grid,Sunday,"1,100"
May 2021,27 Bryant,Grid,Sunday,"1,200"
June 2021,27 Bryant,Grid,Sunday,"1,500"
July 2021,27 Bryant,Grid,Sunday,"1,500"
August 2021,27 Bryant,Grid,Sunday,"1,600"
September 2021,27 Bryant,Grid,Sunday,"1,300"
October 2021,27 Bryant,Grid,Sunday,"1,500"
November 2021,27 Bryant,Grid,Sunday,"1,600"
December 2021,27 Bryant,Grid,Sunday,"1,600"
January 2022,27 Bryant,Grid,Sunday,"1,600"
February 2022,27 Bryant,Grid,Sunday,"1,700"
March 2022,27 Bryant,Grid,Sunday,"1,800"
April 2022,27 Bryant,Grid,Sunday,"2,000"
May 2022,27 Bryant,Grid,Sunday,"1,900"
June 2022,27 Bryant,Grid,Sunday,"1,800"
July 2022,27 Bryant,Grid,Sunday,"2,000"
August 2022,27 Bryant,Grid,Sunday,"2,500"
September 2022,27 Bryant,Grid,Sunday,"2,400"
October 2022,27 Bryant,Grid,Sunday,"2,600"
November 2022,27 Bryant,Grid,Sunday,"2,500"
December 2022,27 Bryant,Grid,Sunday,"2,400"
January 2023,27 Bryant,Grid,Sunday,"2,500"
February 2023,27 Bryant,Grid,Sunday,"2,700"
March 2023,27 Bryant,Grid,Sunday,"2,700"
April 2023,27 Bryant,Grid,Sunday,"2,800"
May 2023,27 Bryant,Grid,Sunday,"2,800"
June 2023,27 Bryant,Grid,Sunday,"2,800"
July 2023,27 Bryant,Grid,Sunday,"2,900"
August 2023,27 Bryant,Grid,Sunday,"3,200"
September 2023,27 Bryant,Grid,Sunday,"3,200"
October 2023,27 Bryant,Grid,Sunday,"3,400"
November 2023,27 Bryant,Grid,Sunday,"3,100"
December 2023,27 Bryant,Grid,Sunday,"3,200"
January 2024,27 Bryant,Grid,Sunday,"3,000"
February 2024,27 Bryant,Grid,Sunday,"3,100"
March 2024,27 Bryant,Grid,Sunday,"3,300"
April 2024,27 Bryant,Grid,Sunday,"3,600"
May 2024,27 Bryant,Grid,Sunday,"3,500"
June 2024,27 Bryant,Grid,Sunday,"3,600"
July 2024,27 Bryant,Grid,Sunday,"3,400"
August 2024,27 Bryant,Grid,Sunday,"3,700"
September 2024,27 Bryant,Grid,Sunday,"3,800"
October 2024,27 Bryant,Grid,Sunday,"3,800"
November 2024,27 Bryant,Grid,Sunday,"3,600"
December 2024,27 Bryant,Grid,Sunday,"3,600"
January 2025,27 Bryant,Grid,Sunday,"3,400"
February 2025,27 Bryant,Grid,Sunday,"3,600"
March 2025,27 Bryant,Grid,Sunday,"3,600"
April 2025,27 Bryant,Grid,Sunday,"3,700"
May 2025,27 Bryant,Grid,Sunday,"3,700"
June 2025,27 Bryant,Grid,Sunday,"3,700"
July 2025,27 Bryant,Grid,Sunday,"3,700"
August 2025,27 Bryant,Grid,Sunday,"4,000"
September 2025,27 Bryant,Grid,Sunday,"3,800"
October 2025,27 Bryant,Grid,Sunday,"3,900"
January 2019,28 19th Avenue,Frequent Local,Sunday,"6,200"
February 2019,28 19th Avenue,Frequent Local,Sunday,"8,700"
March 2019,28 19th Avenue,Frequent Local,Sunday,"9,400"
April 2019,28 19th Avenue,Frequent Local,Sunday,"10,000"
May 2019,28 19th Avenue,Frequent Local,Sunday,"8,500"
June 2019,28 19th Avenue,Frequent Local,Sunday,"8,900"
July 2019,28 19th Avenue,Frequent Local,Sunday,"9,500"
August 2019,28 19th Avenue,Frequent Local,Sunday,"10,700"
September 2019,28 19th Avenue,Frequent Local,Sunday,"10,100"
October 2019,28 19th Avenue,Frequent Local,Sunday,"9,500"
November 2019,28 19th Avenue,Frequent Local,Sunday,"7,900"
December 2019,28 19th Avenue,Frequent Local,Sunday,"7,000"
January 2020,28 19th Avenue,Frequent Local,Sunday,"7,500"
February 2020,28 19th Avenue,Frequent Local,Sunday,"8,900"
March 2020,28 19th Avenue,Frequent Local,Sunday,"4,100"
April 2020,28 19th Avenue,Frequent Local,Sunday,300
August 2020,28 19th Avenue,Frequent Local,Sunday,500
September 2020,28 19th Avenue,Frequent Local,Sunday,"1,500"
October 2020,28 19th Avenue,Frequent Local,Sunday,"1,800"
November 2020,28 19th Avenue,Frequent Local,Sunday,"1,700"
December 2020,28 19th Avenue,Frequent Local,Sunday,"1,400"
January 2021,28 19th Avenue,Frequent Local,Sunday,"1,600"
February 2021,28 19th Avenue,Frequent Local,Sunday,"2,000"
March 2021,28 19th Avenue,Frequent Local,Sunday,"1,900"
April 2021,28 19th Avenue,Frequent Local,Sunday,"1,800"
May 2021,28 19th Avenue,Frequent Local,Sunday,"2,300"
June 2021,28 19th Avenue,Frequent Local,Sunday,"2,200"
July 2021,28 19th Avenue,Frequent Local,Sunday,"2,900"
August 2021,28 19th Avenue,Frequent Local,Sunday,"3,300"
September 2021,28 19th Avenue,Frequent Local,Sunday,"4,000"
October 2021,28 19th Avenue,Frequent Local,Sunday,"3,600"
November 2021,28 19th Avenue,Frequent Local,Sunday,"3,700"
December 2021,28 19th Avenue,Frequent Local,Sunday,"3,300"
January 2022,28 19th Avenue,Frequent Local,Sunday,"3,200"
February 2022,28 19th Avenue,Frequent Local,Sunday,"3,500"
March 2022,28 19th Avenue,Frequent Local,Sunday,"4,300"
April 2022,28 19th Avenue,Frequent Local,Sunday,"4,800"
May 2022,28 19th Avenue,Frequent Local,Sunday,"5,200"
June 2022,28 19th Avenue,Frequent Local,Sunday,"5,600"
July 2022,28 19th Avenue,Frequent Local,Sunday,"7,400"
August 2022,28 19th Avenue,Frequent Local,Sunday,"9,300"
September 2022,28 19th Avenue,Frequent Local,Sunday,"8,000"
October 2022,28 19th Avenue,Frequent Local,Sunday,"7,700"
November 2022,28 19th Avenue,Frequent Local,Sunday,"6,600"
December 2022,28 19th Avenue,Frequent Local,Sunday,"5,900"
January 2023,28 19th Avenue,Frequent Local,Sunday,"6,200"
February 2023,28 19th Avenue,Frequent Local,Sunday,"6,700"
March 2023,28 19th Avenue,Frequent Local,Sunday,"6,800"
April 2023,28 19th Avenue,Frequent Local,Sunday,"8,400"
May 2023,28 19th Avenue,Frequent Local,Sunday,"7,900"
June 2023,28 19th Avenue,Frequent Local,Sunday,"8,500"
July 2023,28 19th Avenue,Frequent Local,Sunday,"10,100"
August 2023,28 19th Avenue,Frequent Local,Sunday,"11,700"
September 2023,28 19th Avenue,Frequent Local,Sunday,"10,000"
October 2023,28 19th Avenue,Frequent Local,Sunday,"9,100"
November 2023,28 19th Avenue,Frequent Local,Sunday,"7,500"
December 2023,28 19th Avenue,Frequent Local,Sunday,"7,500"
January 2024,28 19th Avenue,Frequent Local,Sunday,"8,300"
February 2024,28 19th Avenue,Frequent Local,Sunday,"8,000"
March 2024,28 19th Avenue,Frequent Local,Sunday,"9,500"
April 2024,28 19th Avenue,Frequent Local,Sunday,"9,700"
May 2024,28 19th Avenue,Frequent Local,Sunday,"10,400"
June 2024,28 19th Avenue,Frequent Local,Sunday,"10,700"
July 2024,28 19th Avenue,Frequent Local,Sunday,"11,500"
August 2024,28 19th Avenue,Frequent Local,Sunday,"12,800"
September 2024,28 19th Avenue,Frequent Local,Sunday,"11,400"
October 2024,28 19th Avenue,Frequent Local,Sunday,"9,500"
November 2024,28 19th Avenue,Frequent Local,Sunday,"8,700"
December 2024,28 19th Avenue,Frequent Local,Sunday,"8,400"
January 2025,28 19th Avenue,Frequent Local,Sunday,"8,400"
February 2025,28 19th Avenue,Frequent Local,Sunday,"9,400"
March 2025,28 19th Avenue,Frequent Local,Sunday,"9,200"
April 2025,28 19th Avenue,Frequent Local,Sunday,"10,200"
May 2025,28 19th Avenue,Frequent Local,Sunday,"9,600"
June 2025,28 19th Avenue,Frequent Local,Sunday,"10,700"
July 2025,28 19th Avenue,Frequent Local,Sunday,"11,400"
August 2025,28 19th Avenue,Frequent Local,Sunday,"12,200"
September 2025,28 19th Avenue,Frequent Local,Sunday,"10,800"
October 2025,28 19th Avenue,Frequent Local,Sunday,"9,500"
January 2019,28R 19th Avenue Rapid,Rapid Bus,Sunday,
February 2019,28R 19th Avenue Rapid,Rapid Bus,Sunday,
March 2019,28R 19th Avenue Rapid,Rapid Bus,Sunday,
April 2019,28R 19th Avenue Rapid,Rapid Bus,Sunday,
May 2019,28R 19th Avenue Rapid,Rapid Bus,Sunday,
June 2019,28R 19th Avenue Rapid,Rapid Bus,Sunday,
July 2019,28R 19th Avenue Rapid,Rapid Bus,Sunday,
August 2019,28R 19th Avenue Rapid,Rapid Bus,Sunday,
September 2019,28R 19th Avenue Rapid,Rapid Bus,Sunday,
October 2019,28R 19th Avenue Rapid,Rapid Bus,Sunday,
November 2019,28R 19th Avenue Rapid,Rapid Bus,Sunday,
December 2019,28R 19th Avenue Rapid,Rapid Bus,Sunday,
January 2020,28R 19th Avenue Rapid,Rapid Bus,Sunday,
February 2020,28R 19th Avenue Rapid,Rapid Bus,Sunday,
March 2020,28R 19th Avenue Rapid,Rapid Bus,Sunday,
January 2019,29 Sunset,Grid,Sunday,"6,500"
February 2019,29 Sunset,Grid,Sunday,"7,800"
March 2019,29 Sunset,Grid,Sunday,"8,400"
April 2019,29 Sunset,Grid,Sunday,"8,000"
May 2019,29 Sunset,Grid,Sunday,"7,900"
June 2019,29 Sunset,Grid,Sunday,"7,600"
July 2019,29 Sunset,Grid,Sunday,"8,500"
August 2019,29 Sunset,Grid,Sunday,"8,900"
September 2019,29 Sunset,Grid,Sunday,"8,500"
October 2019,29 Sunset,Grid,Sunday,"8,100"
November 2019,29 Sunset,Grid,Sunday,"7,900"
December 2019,29 Sunset,Grid,Sunday,"6,900"
January 2020,29 Sunset,Grid,Sunday,"7,900"
February 2020,29 Sunset,Grid,Sunday,"8,500"
March 2020,29 Sunset,Grid,Sunday,"4,100"
April 2020,29 Sunset,Grid,Sunday,"2,400"
May 2020,29 Sunset,Grid,Sunday,"2,900"
June 2020,29 Sunset,Grid,Sunday,"3,600"
July 2020,29 Sunset,Grid,Sunday,"3,800"
August 2020,29 Sunset,Grid,Sunday,"3,700"
September 2020,29 Sunset,Grid,Sunday,"4,300"
October 2020,29 Sunset,Grid,Sunday,"4,100"
November 2020,29 Sunset,Grid,Sunday,"4,000"
December 2020,29 Sunset,Grid,Sunday,"3,200"
January 2021,29 Sunset,Grid,Sunday,"3,500"
February 2021,29 Sunset,Grid,Sunday,"4,400"
March 2021,29 Sunset,Grid,Sunday,"4,100"
April 2021,29 Sunset,Grid,Sunday,"4,400"
May 2021,29 Sunset,Grid,Sunday,"4,800"
June 2021,29 Sunset,Grid,Sunday,"4,800"
July 2021,29 Sunset,Grid,Sunday,"5,200"
August 2021,29 Sunset,Grid,Sunday,"5,400"
September 2021,29 Sunset,Grid,Sunday,"5,200"
October 2021,29 Sunset,Grid,Sunday,"5,000"
November 2021,29 Sunset,Grid,Sunday,"5,300"
December 2021,29 Sunset,Grid,Sunday,"4,600"
January 2022,29 Sunset,Grid,Sunday,"5,200"
February 2022,29 Sunset,Grid,Sunday,"5,300"
March 2022,29 Sunset,Grid,Sunday,"5,800"
April 2022,29 Sunset,Grid,Sunday,"6,300"
May 2022,29 Sunset,Grid,Sunday,"6,100"
June 2022,29 Sunset,Grid,Sunday,"6,500"
July 2022,29 Sunset,Grid,Sunday,"6,000"
August 2022,29 Sunset,Grid,Sunday,"7,400"
September 2022,29 Sunset,Grid,Sunday,"7,300"
October 2022,29 Sunset,Grid,Sunday,"7,200"
November 2022,29 Sunset,Grid,Sunday,"6,500"
December 2022,29 Sunset,Grid,Sunday,"5,700"
January 2023,29 Sunset,Grid,Sunday,"6,400"
February 2023,29 Sunset,Grid,Sunday,"6,900"
March 2023,29 Sunset,Grid,Sunday,"6,500"
April 2023,29 Sunset,Grid,Sunday,"7,800"
May 2023,29 Sunset,Grid,Sunday,"7,500"
June 2023,29 Sunset,Grid,Sunday,"7,100"
July 2023,29 Sunset,Grid,Sunday,"7,600"
August 2023,29 Sunset,Grid,Sunday,"8,800"
September 2023,29 Sunset,Grid,Sunday,"8,100"
October 2023,29 Sunset,Grid,Sunday,"8,700"
November 2023,29 Sunset,Grid,Sunday,"7,100"
December 2023,29 Sunset,Grid,Sunday,"7,200"
January 2024,29 Sunset,Grid,Sunday,"7,500"
February 2024,29 Sunset,Grid,Sunday,"7,300"
March 2024,29 Sunset,Grid,Sunday,"7,900"
April 2024,29 Sunset,Grid,Sunday,"8,300"
May 2024,29 Sunset,Grid,Sunday,"8,200"
June 2024,29 Sunset,Grid,Sunday,"8,500"
July 2024,29 Sunset,Grid,Sunday,"8,100"
August 2024,29 Sunset,Grid,Sunday,"9,100"
September 2024,29 Sunset,Grid,Sunday,"8,800"
October 2024,29 Sunset,Grid,Sunday,"9,000"
November 2024,29 Sunset,Grid,Sunday,"7,800"
December 2024,29 Sunset,Grid,Sunday,"7,800"
January 2025,29 Sunset,Grid,Sunday,"7,700"
February 2025,29 Sunset,Grid,Sunday,"8,400"
March 2025,29 Sunset,Grid,Sunday,"8,100"
April 2025,29 Sunset,Grid,Sunday,"8,800"
May 2025,29 Sunset,Grid,Sunday,"8,600"
June 2025,29 Sunset,Grid,Sunday,"8,600"
July 2025,29 Sunset,Grid,Sunday,"8,200"
August 2025,29 Sunset,Grid,Sunday,"9,500"
September 2025,29 Sunset,Grid,Sunday,"9,100"
October 2025,29 Sunset,Grid,Sunday,"9,000"
January 2019,30 Stockton,Frequent Local,Sunday,"12,800"
February 2019,30 Stockton,Frequent Local,Sunday,"16,300"
March 2019,30 Stockton,Frequent Local,Sunday,"16,500"
April 2019,30 Stockton,Frequent Local,Sunday,"15,300"
May 2019,30 Stockton,Frequent Local,Sunday,"15,700"
June 2019,30 Stockton,Frequent Local,Sunday,"15,700"
July 2019,30 Stockton,Frequent Local,Sunday,"16,900"
August 2019,30 Stockton,Frequent Local,Sunday,"18,300"
September 2019,30 Stockton,Frequent Local,Sunday,"17,700"
October 2019,30 Stockton,Frequent Local,Sunday,"17,600"
November 2019,30 Stockton,Frequent Local,Sunday,"16,500"
December 2019,30 Stockton,Frequent Local,Sunday,"14,400"
January 2020,30 Stockton,Frequent Local,Sunday,"16,700"
February 2020,30 Stockton,Frequent Local,Sunday,"15,100"
March 2020,30 Stockton,Frequent Local,Sunday,"7,800"
April 2020,30 Stockton,Frequent Local,Sunday,800
June 2020,30 Stockton,Frequent Local,Sunday,"1,600"
July 2020,30 Stockton,Frequent Local,Sunday,"2,500"
August 2020,30 Stockton,Frequent Local,Sunday,"2,500"
September 2020,30 Stockton,Frequent Local,Sunday,"2,600"
October 2020,30 Stockton,Frequent Local,Sunday,"2,800"
November 2020,30 Stockton,Frequent Local,Sunday,"2,600"
December 2020,30 Stockton,Frequent Local,Sunday,"2,000"
January 2021,30 Stockton,Frequent Local,Sunday,"2,600"
February 2021,30 Stockton,Frequent Local,Sunday,"4,400"
March 2021,30 Stockton,Frequent Local,Sunday,"4,500"
April 2021,30 Stockton,Frequent Local,Sunday,"4,400"
May 2021,30 Stockton,Frequent Local,Sunday,"6,200"
June 2021,30 Stockton,Frequent Local,Sunday,"7,000"
July 2021,30 Stockton,Frequent Local,Sunday,"7,600"
August 2021,30 Stockton,Frequent Local,Sunday,"8,200"
September 2021,30 Stockton,Frequent Local,Sunday,"9,300"
October 2021,30 Stockton,Frequent Local,Sunday,"8,200"
November 2021,30 Stockton,Frequent Local,Sunday,"6,600"
December 2021,30 Stockton,Frequent Local,Sunday,"6,200"
January 2022,30 Stockton,Frequent Local,Sunday,"5,700"
February 2022,30 Stockton,Frequent Local,Sunday,"5,900"
March 2022,30 Stockton,Frequent Local,Sunday,"7,000"
April 2022,30 Stockton,Frequent Local,Sunday,"8,800"
May 2022,30 Stockton,Frequent Local,Sunday,"9,300"
June 2022,30 Stockton,Frequent Local,Sunday,"9,600"
July 2022,30 Stockton,Frequent Local,Sunday,"10,200"
August 2022,30 Stockton,Frequent Local,Sunday,"10,700"
September 2022,30 Stockton,Frequent Local,Sunday,"10,000"
October 2022,30 Stockton,Frequent Local,Sunday,"10,300"
November 2022,30 Stockton,Frequent Local,Sunday,"10,000"
December 2022,30 Stockton,Frequent Local,Sunday,"8,300"
